These studies are the included studies in Mullen et al.'s (2024) scoping systematic review. Please reference the paper if using these results: ,,,,,,,,,,
"Mullen, C., Howard, E., & Cronin, A. (2024). A scoping literature review of the impact and evaluation of mathematics and statistics supportin higher education. Educational Studies in Mathematics, https://doi.org/10.1007/s10649-024-10332-6.",,,,,,,,,,
,,,,,,,,,,
Rows 1-5 need to be deleted before uploading to the EviAtlas app (https://estech.shinyapps.io/eviatlas/),,,,,,,,,,
,,,,,,,,,,
Study_No,Evaluation_Focused,Source,Publication_Type,Year,Reference,Institute,Country,Latitude,Longitude,MSS_Formats
1,Evaluation,Database Search,Journal Article,2017,"Adamiak, J. P., & Sauls, R. D. (2017). Influencing mathematics students’ academic success through online intervention: A case study. South African Journal of Higher Education, 31(3), 230-248. ","University of South Africa (UNISA), Western Cape",South Africa,-33.90771092,18.59496514,"Online_Resources , Tutorials"
2,Evaluation,Database Search,Journal Article,2020,"Bebermeier, S., Nußbeck, F. W., & Austerschmidt, K. L. (2020). The impact of students’ skills on the use of learning support and effects on exam performance in a psychology students’ statistics course. Scholarship of Teaching and Learning in Psychology, 6(1), 24-35. ",Bielefeld University,Germany,52.03680957,8.495391501,"Online_Resources , Paper_Resources, Tutorials"
3,Evaluation,Database Search,Journal Article,2015,"Berry, E., Mac An Bhaird, C., & O'Shea, A. (2015). Investigating Relationships between the usage of mathematics learning support and performance of at-risk students. Teaching Mathematics and its Applications, 34(4), 194-204.",Maynooth University (NUIM National University of Ireland Maynooth),Ireland,53.38479865,-6.600510943,Drop-in_Sessions
4,Evaluation,Database Search,Journal Article,2015,"Breen, C., Prendergast, M., & Carr, M. (2015). Investigating the Engagement of Mature Students with Mathematics Learning Support. Teaching Mathematics and its Applications, 34(1), 16-25. ",Dublin Institute of Technology,Ireland,53.35804116,-6.286988237,MSC
5,Evaluation,Database Search,Journal Article,2006,"Duranczyk, I. M., Goff, E., & Opitz, D. L. (2006). Students’ experiences in learning centers: Socioeconomic factors, grades, and perceptions of the math center. Journal of College Reading and Learning, 36(2), 39-49. ",General College University of Minnesota,USA,44.98026932,-93.23412482,"Drop-in_Sessions, Tutorials"
6,Evaluation,Database Search,Journal Article,2020,"Dzator, M., & Dzator, J. (2020). The impact of mathematics and statistics support at the academic learning centre, Central Queensland University. Teaching Mathematics and Its Applications: An International Journal of the IMA, 39(1), 13–28. ",Central Queensland University,Australia,-27.46699698,153.025108,"Drop-in_Sessions, Online_Communication, Workshops"
7,Evaluation,Database Search,Journal Article,2015,"Fitzmaurice, O., Mac an Bhaird, C., Ní Fhloinn, E., & O'Sullivan, C. (2015). Adult Learners and Mathematics Learning Support. Adults Learning Mathematics, 10(1), 68-83. ","Dublin City University (DCU), National University of Ireland Galway (NUIG), National University of Ireland Maynooth (NUIM), University College Dublin (UCD) and University of Limerick (UL). Institute of Technology Blanchardstown (ITB), Institute of Technology Carlow (ITC), Institute of Technology Tallaght (ITT) and Institute of Technology Tralee (ITTRA).",Ireland,53.35804116,-6.286988237,"Drop-in_Sessions, Workshops"
7,Evaluation,Database Search,Journal Article,2014,"Ní Fhloinn, E., Fitzmaurice, O., Mac an Bhaird, C., & O’Sullivan, C. (2014). Student perception of the impact of mathematics support in higher education. International Journal of Mathematical Education in Science and Technology, 45(7), 953-967. 
","Dublin City University (DCU), National University of Ireland Galway (NUIG), National University of Ireland Maynooth (NUIM), University College Dublin (UCD) and University of Limerick (UL). Institute of Technology Blanchardstown (ITB), Institute of Technology Carlow (ITC), Institute of Technology Tallaght (ITT) and Institute of Technology Tralee (ITTRA).",Ireland,53.37804116,-6.306988237,"Drop-in_Sessions, Workshops"
7,Evaluation,Database Search,Journal Article,2016,"Ní Fhloinn, E., Fitzmaurice, O., Mac an Bhaird, C., & O’Sullivan, C. (2016). Gender differences in the level of engagement with mathematics support in higher education in Ireland. International Journal of Research in Undergraduate Mathematics Education, 2, 297-317.","Dublin City University (DCU), National University of Ireland Galway (NUIG), National University of Ireland Maynooth (NUIM), University College Dublin (UCD) and University of Limerick (UL). Institute of Technology Blanchardstown (ITB), Institute of Technology Carlow (ITC), Institute of Technology Tallaght (ITT) and Institute of Technology Tralee (ITTRA).",Ireland,53.39804116,-6.326988237,"Drop-in_Sessions, Workshops"
7,Evaluation,Database Search,Journal Article,2013,"Mac an Bhaird, C., Fitzmaurice, O., Fhloinn, E. N., & O’Sullivan, C. (2013). Student non-engagement with mathematics learning supports. Teaching Mathematics and Its Applications: International Journal of the IMA, 32(4), 191-205.
","Dublin City University (DCU), National University of Ireland Galway (NUIG), National University of Ireland Maynooth (NUIM), University College Dublin (UCD) and University of Limerick (UL). Institute of Technology Blanchardstown (ITB), Institute of Technology Carlow (ITC), Institute of Technology Tallaght (ITT) and Institute of Technology Tralee (ITTRA).",Ireland,53.33804116,-6.266988237,"Drop-in_Sessions, Workshops"
7,Evaluation,IMLSN,Report,2014,"O'Sullivan, C., Mac an Bhaird, C., Fitzmaurice, O., & Ní Fhloinn, E. (2014). An Irish Mathematics Learning Support Network (IMLSN) Report on Student Evaluation of Mathematics Learning Support: Insights from a large scale multi-institutional survey. Limerick: National Centre for Excellence in Mathematics and Science Teaching and Learning. ","Dublin City University (DCU), National University of Ireland Galway (NUIG), National University of Ireland Maynooth (NUIM), University College Dublin (UCD) and University of Limerick (UL). Institute of Technology Blanchardstown (ITB), Institute of Technology Carlow (ITC), Institute of Technology Tallaght (ITT) and Institute of Technology Tralee (ITTRA).",Ireland,53.31804116,-6.246988237,"Drop-in_Sessions, Workshops"
8,Evaluation,Database Search,Journal Article,2014,"Gallimore, M., & Stewart, J. (2014). Increasing the impact of mathematics support on aiding student transition in higher education. Teaching Mathematics and its Applications, 33(2), 98-109.",University of Lincoln,UK,53.22863838,-0.547806532,Appointments
9,Evaluation,Database Search,Journal Article,2012,"Gillard, J., Robathan, K., & Wilson, R. (2012). Student perception of the effectiveness of mathematics support at Cardiff University. Teaching Mathematics and its Applications, 31(2), 84-94. ",Cardiff University,UK,51.48671085,-3.178286074,Drop-in_Sessions
10,Evaluation,Database Search,Journal Article,2011,"Halcrow, C., & Iiams, M. (2011). You can build it, but will they come? PRIMUS, 21(4), 323-337. ",University of North Dakota,USA,47.92297725,-97.07676922,Drop-in_Sessions
